 Places 名次_0	`2-10	`11-20	21-29	31-40	41-50	51-60	61-70	71-80	81-90	91-120	121-160	161-200	201-240	241-280	281-320	321-360	361-400	401-480	481-560	561-640
1	100.0000	60.0000	50.0000	45.0000	37.5000	37.5000	35.0000	34.0000	32.0000	30.0000	28.0000	27.0000	26.0000	25.0000	24.5000	24.0000	23.5000	23.0000	22.5000	22.0000
2		40.0000	30.0000	30.0000	23.1800	23.2000	21.6290	21.037	19.7770	18.5420	17.3070	16.6810	16.0780	15.4560	15.1370	14.8480	14.5170	14.2320	13.8960	13.5970
3			20.0000	15.0000	16.1400	15.2000	14.3410	13.848	13.8440	13.2020	12.3420	11.9000	11.7510	11.3490	11.1680	10.8940	10.7210	10.3680	10.0480	9.7940
4				10.0000	12.5100	10.5000	10.1520	9.694	10.0840	9.5900	8.9770	8.6400	8.6700	8.4140	8.3010	8.0760	7.9740	7.6350	7.3750	7.1500
5					10.6700	7.7000	7.6430	7.184	7.4190	7.1040	6.6570	6.3870	6.4570	6.2970	6.2170	6.0410	5.9750	5.6770	5.4640	5.2860
6						5.9000	6.0970	5.618	5.5420	5.3630	5.0310	4.8070	4.8560	4.7570	4.6920	4.5580	4.5110	4.2620	4.0940	3.9560
7							5.1380	4.624	4.4450	4.1250	3.8730	3.6820	3.6880	3.6270	3.5680	3.4680	3.4310	3.2310	3.1010	2.9960
8								3.995	3.7050	3.2310	3.0370	2.8710	2.8300	2.7920	2.7330	2.6610	2.6290	2.4730	2.3740	2.2950
9									3.1840	2.5760	2.4240	2.2780	2.1930	2.1690	2.1090	2.0580	2.0290	1.9120	1.8370	1.7780
10										2.0890	2.4240	2.2780	2.1930	2.1690	2.1090	2.0580	2.0290	1.9120	1.8370	1.7780
11										2.0890	1.9690	1.8380	1.7160	1.7000	1.6400	1.6050	1.5770	1.4920	1.4360	1.3930
12										2.0890	1.9690	1.8380	1.7160	1.7000	1.6400	1.6050	1.5770	1.4920	1.4360	1.3930
13											1.6270	1.5080	1.3560	1.3450	1.2840	1.2620	1.2350	1.1750	1.1350	1.1040
14											1.6270	1.5080	1.3560	1.3450	1.2840	1.2620	1.2350	1.1750	1.1350	1.1040
15											1.3680	1.2580	1.0820	1.0740	1.0130	1.0000	0.9740	0.9340	0.9060	0.8840
16											1.3680	1.2580	1.0820	1.0740	1.0130	1.0000	0.9740	0.9340	0.9060	0.8840
17												1.0670	0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
18												1.0670	0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
19												1.0670	0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
20												1.0670	0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
21													0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
22													0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
23													0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
24													0.8720	0.8650	0.8050	0.7980	0.7730	0.7500	0.7310	0.7160
25														0.7030	0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
26														0.7030	0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
27														0.7030	0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
28														0.7030	0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
29															0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
30															0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
31															0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
32															0.6440	0.6420	0.6180	0.6070	0.5950	0.5860
33																0.5210	0.4980	0.4960	0.4900	0.4850
34																0.5210	0.4980	0.4960	0.4900	0.4850
35																0.5210	0.4980	0.4960	0.4900	0.4850
36																0.5210	0.4980	0.4960	0.4900	0.4850
37																	0.4980	0.4960	0.4900	0.4850
38																	0.4980	0.4960	0.4900	0.4850
39																	0.4980	0.4960	0.4900	0.4850
40																	0.4980	0.4960	0.4900	0.4850
41																		0.4090	0.4070	0.4060
42																		0.4090	0.4070	0.4060
43																		0.4090	0.4070	0.4060
44																		0.4090	0.4070	0.4060
45																		0.4090	0.4070	0.4060
46																		0.4090	0.4070	0.4060
47																		0.4090	0.4070	0.4060
48																		0.4090	0.4070	0.4060
49																			0.3420	0.3410
50																			0.3420	0.3410
51																			0.3420	0.3410
52																			0.3420	0.3410
53																			0.3420	0.3410
54																			0.3420	0.3410
55																			0.3420	0.3410
56																			0.3420	0.3410
57																				0.2920
58																				0.2920
59																				0.2920
60																				0.2920
61																				0.2920
62																				0.2920
63																				0.2920
64																				0.2920
