	`2-10	`11-20	21-29	31-40	41-50	51-60	61-70	71-80	81-90	91-120	121-150	151-180	181-210	211-240	241-270	271-300	301-360	361-420	421-480	481-540
1	100.0000	60.0000	50.0000	45.0000	37.5000	37.5000	35.0000	34.0000	32.0000	30.0000	28.5000	28.0000	27.5000	27.0000	26.5000	26.0000	25.0000	24.0000	23.0000	22.0000
2		40.0000	30.0000	30.0000	23.1800	23.2000	21.6290	21.037	19.7770	18.5430	17.6170	17.3090	16.9880	16.6820	16.3880	16.0660	15.4480	14.8230	14.3020	13.6600
3		100.0000	20.0000	15.0000	16.1400	15.2000	14.3410	13.848	13.8440	13.3160	12.6970	12.4270	12.0040	11.6870	11.3920	11.1540	10.7210	10.3740	10.1200	9.8400
4			100.0000	10.0000	12.5100	10.5000	10.1520	9.694	10.0840	9.6130	9.1890	8.9330	8.5300	8.2440	8.0060	7.8260	7.5310	7.3360	7.1650	7.1000
5				100.0000	10.6700	7.7000	7.6430	7.184	7.4190	6.9450	6.6750	6.4210	6.0970	5.8600	5.6840	5.5500	5.3530	5.2450	5.1470	5.1400
6					100.0000	5.9000	6.0970	5.618	5.5420	5.0310	4.8660	4.6160	4.3830	4.1990	4.0760	3.9780	3.8490	3.7900	3.7330	3.7300
7						100.0000	5.1380	4.624	4.4450	3.6580	3.5590	3.3200	3.1690	3.0340	2.9520	2.8820	2.7990	2.7680	2.7350	2.7300
8							100.0000	3.995	3.7050	3.6580	3.5590	3.3200	3.1690	3.0340	2.9520	2.8820	2.7990	2.7680	2.7350	2.7300
9								100.0000	3.1840	2.6670	2.6120	2.3880	2.3040	2.2100	2.1590	2.1100	2.0590	2.0430	2.0250	2.0200
10									100.0000	2.6670	2.6120	2.3880	2.3040	2.2100	2.1590	2.1100	2.0590	2.0430	2.0250	2.0200
11										1.9510	1.9240	1.7190	1.6850	1.6230	1.5940	1.5610	1.5310	1.5240	1.5140	1.5100
12										1.9510	1.9240	1.7190	1.6850	1.6230	1.5940	1.5610	1.5310	1.5240	1.5140	1.5100
13										100.0000	1.4220	1.2400	1.2390	1.2020	1.1890	1.1670	1.1500	1.1480	1.1430	1.1400
14											1.4220	1.2400	1.2390	1.2020	1.1890	1.1670	1.1500	1.1480	1.1430	1.1400
15											1.4220	1.2400	1.2390	1.2020	1.1890	1.1670	1.1500	1.1480	1.1430	1.1400
16											100.0000	1.2400	1.2390	1.2020	1.1890	1.1670	1.1500	1.1480	1.1430	1.1400
17												1.2400	1.2390	1.2020	1.1890	1.1670	1.1500	1.1480	1.1430	1.1400
18												1.2400	1.2390	1.2020	1.1890	1.1670	1.1500	1.1480	1.1430	1.1400
19												100.0000	0.9160	0.8970	0.8950	0.8810	0.8750	0.8740	0.8720	0.8700
20													0.9160	0.8970	0.8950	0.8810	0.8750	0.8740	0.8720	0.8700
21													0.9160	0.8970	0.8950	0.8810	0.8750	0.8740	0.8720	0.8700
22													100.0000	0.8970	0.8950	0.8810	0.8750	0.8740	0.8720	0.8700
23														0.8970	0.8950	0.8810	0.8750	0.8740	0.8720	0.8700
24														0.8970	0.8950	0.8810	0.8750	0.8740	0.8720	0.8700
25														100.0000	0.6800	0.6720	0.6700	0.6690	0.6680	0.6670
26															0.6800	0.6720	0.6700	0.6690	0.6680	0.6670
27															0.6800	0.6720	0.6700	0.6690	0.6680	0.6670
28															100.0000	0.6720	0.6700	0.6690	0.6680	0.6670
29																0.6720	0.6700	0.6690	0.6680	0.6670
30																0.6720	0.6700	0.6690	0.6680	0.6670
31																100.0000	0.5250	0.5220	0.5210	0.5200
32																	0.5250	0.5220	0.5210	0.5200
33																	0.5250	0.5220	0.5210	0.5200
34																	0.5250	0.5220	0.5210	0.5200
35																	0.5250	0.5220	0.5210	0.5200
36																	0.5250	0.5220	0.5210	0.5200
37																	100.0000	0.4140	0.4135	0.4130
38																		0.4140	0.4135	0.4130
39																		0.4140	0.4135	0.4130
40																		0.4140	0.4135	0.4130
41																		0.4140	0.4135	0.4130
42																		0.4140	0.4135	0.4130
43																		100.0000	0.3800	0.3750
44																			0.3800	0.3750
45																			0.3800	0.3750
46																			0.3800	0.3750
47																			0.3800	0.3750
48																			0.3800	0.3750
49																			100.0000	0.3500
50																				0.3500
51																				0.3500
52																				0.3500
53																				0.3500
54																				0.3500
